N.,Nome completo,Token address,Esiste il token
2,Albert Malcolm Patabendige Don,9NcFYBPsYMp9WNnUfQieivuAiauqq7tYFgU5poxppump,
5,Andrers Arborelius,hD9EycfEX96rLYsfXbEykhJUfbBpWM83QgN1kFYpump,
8,Angelo De Donatis,H4HWTNVw9GfH5EMMfhmuwcH2YdSi33oREND6ugZkpump,
18,Blase J. Cupich,HUqj16zfpBktJu7YeHzM7NAm6zA9AYZ7x1L76DiPpump,
23,Chibly Langlois,BWgEknqKf9VpbvbaJMvj1QLDmjd5ukp8ekReNvuspump,
25,Claudio Gugerotti,C41r4RskfJFRJv6GsM5hEmg7J5QyemYhvfYmN1dRpump,
27,Cristobal Lopez Romero,27bFw4u693eZxv4EqwY15soXrSiotK5KVocQCWQ4pump,
28,Daniel Fernando Sturla Berhouet,Ejf5AA65NWbR1Rhd966wTZPc7PhP7YWbfzGM2nUHpump,
32,Domenico Battaglia,B9VUFFC58D85i1B2p5GAJ5QqF1aQFLaDJu1zXrRNpump,
37,Fernando Filoni,BhpBpqcseN4x8zJ5fXdiDiRimcdPjVt5JqDUKGWWpump,
45,Fridolin Ambongo Besungu,9dm3XtESF5nUivWRvX3SfDeud14oho6kBo24U4r1pump,
49,Gerhard Ludwig Muller,CiKnBSQdQwbMEoTrYMnPYS9ShnwbKchJz4Vf1cfzpump,
50,Giorgio Marengo,9ie844qAagSho538dDsoWSrZ7uhq3rfpGJUfrmMApump,
59,Jean-Claude Hollerich,MdAJHoPax4o4u9KSVgyC8dneWtMntbLEfAXABFypump,
60,Jean-Marc Aveline,EBhS481NdnJBi3NGAdW9JcuoTqX4SiVW1AZyERLKpump,
61,Jean-Pierre Kutwa,Cv43e2LKeZbFr9D5zgPyzSA6UTNSmNzzjDXmniPupump,
68,Joseph Kevin Farrell,EVjiEWuhS9zRwtfqqcG3GG8LnekSsZPasb3va2Ewpump,
72,José Tolentino de Mendonça,23xdfxo7MPp8UktCM2gWxZfC4Rf8XCLSdBnREaaPpump,
80,Lazzaro You Heung-Sik,hojUvM95uBDdwi4qYTF3dhJdrbE9x9C1gJGqqzipump,
81,Leo Raymond Burke,3uBQmoLe2ZE7Dc6vCaMh26it9ZincnqQ2hd8mGcKpump,
84,Louis Rapahel Sako,7TpAvEZnjWHpVB5yNnAiV3aNRT1ymjmEaBKQx3rKpump,
85,Luis Antonio Gokim Tagle,Cmt6QFnpJnQDJuY7bE3ThaMDvaExPmoSHfEJE8BDpump,
90,Mario Grech,BCL93AVCL6zijanPpH1KEs1pbSYSQqnAL6P8pQDdpump,
92,Matteo Maria Zuppi,H3THb3m5PWdjxB6oGinLrAsc8o2QRKZRXwF7r89Tpump,
93,Mauro Gambetti,BYjoURdQoCnb76ZM4CdM7pZSe7VF9fFPZdUWeDuHpump,
95,Mykola Bychok,4DnhdkucAFQu6Bts821LpbQ24ndddFRNnPxcCYFbpump,
97,Odilo Pedro Scherer,HBdTgv5ZrtD3Vk9ZixdYbxG9UYj7WekcwPUJYcSNpump,
98,Orani Joao Tempesta,CQgMtnkvvoFAd233rdziWTTTu9bRHz86AAnsViqSpump,
103,Peter Erdo,DHzjDkn3G6iVwXXMTmp2hrEnDU5YgFrPSgkbdNcppump,
104,Peter Kodwo Appiah Turkson,tAAjejNFv3ZjzJwHT1mmVEwpQ4QxCnRFSheCRCvpump,
107,Pierbattista Pizzaballa,C3TEHyqZafFuE1rPWzMMr9HPNvGSXSap2jXRbtzqpump,
108,Pietro Parolin,7rnYT9QqS9RKYFJnDT14T14LxmG1c3xZo61pSVJRpump,
111,Reinhard Marx,7hxxu1nBSynku3jEAagyLkMpriAUUfM4vHAUxuBdpump,
112,Robert Francis Prevost,3j11JP4ijPYwN3A22Njj2ssbS4fCWtJteMAaBJNxpump,
113,Robert Sarah,k5JTDttoSHnc8sSAsK9iQEPT9fMKTQMdNKutytQpump,
119,Sergio Da Rocha,8mZJuoQisdcm7uv5Y86ZhmgwD7UoEAsZ7RfbBhw1pump,
